model,valid_accuracy,valid_f1,test_accuracy,test_f1
Final Linear: + LSH + graph + embeddings,0.8021806853582555,0.8751229105211407,0.7995264404104183,0.8762183235867447
Final XGBoost: SVD(text+all features),0.7928348909657321,0.8620331950207469,0.8003157063930545,0.8712468193384224
Improved Linear: text + metadata + history,0.7967289719626168,0.8589951377633711,0.7884767166535123,0.8589473684210527
Baseline: TF-IDF + Naive Bayes,0.7165109034267912,0.8303821062441752,0.7300710339384373,0.841225626740947
