model,valid_accuracy,valid_binary_f1,valid_macro_f1,test_accuracy,test_binary_f1,test_macro_f1,test_false_recall,test_auc_roc
Final XGBoost: text + metadata + history + LSH,0.8146417445482866,0.8766839378238342,0.7518215927363685,0.7963693764798737,0.8686354378818737,0.7080019294672526,0.4574780058651026,0.8345895378223116
Improved Linear: text + metadata + history,0.7772585669781932,0.8447339847991314,0.7253972954298687,0.7750591949486977,0.8488063660477454,0.7048346159976786,0.533724340175953,0.7999911326741954
Final Linear: text + metadata + history + LSH,0.7975077881619937,0.8650051921079959,0.7300103842159917,0.7940015785319653,0.8673106253177427,0.7034965825001411,0.44868035190615835,0.8042110296865401
Improved Linear: text + metadata,0.6947040498442367,0.7919320594479831,0.6094163221216523,0.7048145224940805,0.8062176165803109,0.5935061592835329,0.33724340175953077,0.665904498901085
Baseline: TF-IDF + Naive Bayes,0.7126168224299065,0.8281322775966465,0.4758238585132876,0.7300710339384373,0.8416666666666667,0.46361408199643495,0.0469208211143695,0.659114660856457
