model,valid_accuracy,valid_f1,test_accuracy,test_f1
Final Linear: + LSH + graph + embeddings,0.7866043613707165,0.8667315175097277,0.7892659826361483,0.8715728715728716
Final XGBoost: SVD(text+all features),0.7889408099688473,0.859074362974519,0.8050513022888713,0.8741721854304636
Improved Linear: text + metadata + history,0.7951713395638629,0.8580679978413384,0.7861089187056038,0.8575932737782449
Baseline: TF-IDF + Naive Bayes,0.7126168224299065,0.8281322775966465,0.7300710339384373,0.8416666666666667
